PA-13,Allyson Schwartz,,,,
,,,,,
PA-14,Mike Doyle,@USRepMikeDoyle,,,@USRepMikeDoyle
,,,,,
PA-15,Charlie Dent,@DentPressShop,,,@DentPressShop
,,,,,
PA-16,Joe Pitts,@RepJoePitts,,,@RepJoePitts
,,,,,
PA-17,Matt Cartwright,@CartwrightPA,,,@CartwrightPA
,,,,,
PA-18,Tim Murphy,@RepTimMurphy,,,@RepTimMurphy
,,,,,
RI-01,David Cicilline,@davidcicilline,,,@davidcicilline
,,,,,
RI-02,James Langevin,@jimlangevin,,,@jimlangevin
,,,,,
SC-02,Joe Wilson,@USRepJoeWilson,,,@USRepJoeWilson
,,,,,
SC-03,Jeff Duncan,@RepJeffDuncan,,,@RepJeffDuncan
,,,,,
SC-04,Trey Gowdy,@TGowdySC,,,@TGowdySC
,,,,,
SC-05,Mick Mulvaney,@RepMickMulvaney,,,@RepMickMulvaney
,,,,,
SC-06,Jim Clyburn,@Clyburn,,,@Clyburn
,,,,,
SC-07,Tom Rice,@RepTomRice,,,@RepTomRice
,,,,,
SD,Kristi Noem,@RepKristiNoem,,,@RepKristiNoem
,,,,,
TN-01,Phil Roe,@DrPhilRoe,,,@DrPhilRoe
,,,,,
TN-02,John Duncan,,,,
,,,,,
TN-03,Chuck Fleischmann,@RepChuck,,,@RepChuck
,,,,,
TN-04,Scott DesJarlais,@DesJarlaisTN04,,,@DesJarlaisTN04
,,,,,
TN-05,Jim Cooper,@repjimcooper,,,@repjimcooper
,,,,,
